FECHA,CODIGO_EMPRESA,CEDULA_ANONIMIZADA,UBICACION_ANONIMIZADA,CODIGO_LOCALIDAD,ID_ESTADO_CIVIL,ID_GENERO,FECHA_NACIMIENTO,EDAD,FECHA_INGRESO,FECHA_INICIO_CONTRATO,ID_CARGO,TIPO_CARGO,NIVEL_CARGO,CATEGORIA_CARGO,TIPO_AREA,ID_CENTRO_COSTO,TIPO_NOMINA,SUBSIDIO_TRANSPORTE,COMPENSACION_VARIABLE,PORCENT_COMP_VARIABLE,SALARIO,TOTAL_SALARIO,INDICADOR_VARIACION_SALARIO,VARIACION_SALARIO,SENAL_SINDICALIZADO,FECHA_FIN_CONTRATO,CAUSA_NOMBRE,TIPO_RETIRO,NUM_DIAS_LABORADOS,NUM_DIAS_CONTRATADOS,RETIRO
2020-12-31,21,312,5,1502,SOLTERO,F,1992-09-06,29,2018-10-03,2018-10-03,84132,ADMINISTRATIVO,4,15,ADMINISTRATIVO,110105,TERMINO_INDEFINIDO,1,0,0,6237600,6237600,1,222600,0,2017-07-15,RENUNCIA,NO_DESEADO,754,754,0
2017-12-31,21,1934,2,NS-NR,CASADO,M,1955-02-09,66,1980-10-08,1980-10-08,NS-NR,OPERATIVO,5,11,ADMINISTRATIVO,250188,NS-NR,0,0,0,1915504,1915504,0,0,1,2018-01-01,RENUNCIA,NO_DESEADO,13599,13599,1
2017-12-31,21,1258,7,NS-NR,CASADO,M,1955-09-15,66,1980-02-19,1980-02-19,NS-NR,OPERATIVO,6,8,ADMINISTRATIVO,220180,NS-NR,0,0,0,1519029,1519029,0,0,1,2018-01-01,RENUNCIA,DESEADO,13831,13831,1
2017-12-31,21,1397,5,NS-NR,CASADO,F,1971-12-17,49,2016-08-01,2016-08-01,NS-NR,ESTRATEGICO,2,20,ADMINISTRATIVO,310107,NS-NR,0,0,0,29400000,29400000,0,0,0,2018-01-01,RENUNCIA,NO_DESEADO,518,518,1
2017-12-31,21,1402,7,NS-NR,SOLTERO,F,1972-06-09,49,2016-11-01,2016-11-01,NS-NR,OPERATIVO,5,11,ADMINISTRATIVO,310117,NS-NR,0,0,0,1260000,1260000,0,0,0,2018-01-01,RENUNCIA,DESEADO,426,426,1
2017-12-31,21,1405,5,NS-NR,CASADO,F,1972-11-07,48,2001-01-02,2001-01-02,NS-NR,ESTRATEGICO,2,19,ADMINISTRATIVO,110306,NS-NR,0,0,0,18694700,18694700,0,0,0,2018-01-01,RENUNCIA,DESEADO,6208,6208,1
2017-12-31,21,1478,5,NS-NR,CASADO,F,1979-07-27,42,2007-11-19,2007-11-19,NS-NR,ESTRATEGICO,2,19,ADMINISTRATIVO,110128,NS-NR,0,0,0,20978800,20978800,0,0,0,2018-01-01,RENUNCIA,DESEADO,3696,3696,1
2017-12-31,21,1845,7,NS-NR,SOLTERO,M,1984-04-18,37,2016-05-16,2016-05-16,NS-NR,ESTRATEGICO,3,16,ADMINISTRATIVO,110120,NS-NR,0,0,0,6091500,6091500,0,0,0,2018-01-01,RENUNCIA,NO_DESEADO,595,595,1
2017-12-31,21,315,5,NS-NR,SOLTERO,F,1993-09-16,28,2017-10-02,2017-10-02,NS-NR,ESTRATEGICO,4,15,ADMINISTRATIVO,110110,NS-NR,0,0,0,3400000,3400000,0,0,0,2018-01-01,RENUNCIA,DESEADO,91,91,1
2017-12-31,21,425,19,NS-NR,NO_DEFINIDO,M,1993-03-17,28,2015-02-09,2015-02-09,NS-NR,OPERATIVO,6,9,ADMINISTRATIVO,210144,NS-NR,0,0,0,1002800,1002800,0,0,0,2018-01-01,RENUNCIA,NO_DESEADO,1057,1057,1
