Localidad,Latitud,Longitud,NumAccidentes
LOCALIDAD DISTRITO CAPITAL,4.6477142220025,-74.12077469601431,1
LOCALIDAD KENNEDY,4.613295175102726,-74.1578317598787,1
LOCALIDAD SUBA,4.758960373840718,-74.0746148505638,1
LOCALIDAD TUNJUELITO,4.587960753483115,-74.13740773653892,1
LOCALIDAD SAN CRISTOBAL,4.573106043916395,-74.09217431413913,1
LOCALIDAD CIUDAD BOLIVAR,4.591406550049238,-74.16733175881573,1
LOCALIDAD RAFAEL URIBE,4.572489062964776,-74.09784497971958,1
LOCALIDAD KENNEDY,4.629166370558051,-74.1696677628137,1
LOCALIDAD SANTA FE,4.617624791334293,-74.06839139790564,1
LOCALIDAD BOSA,4.642153515140833,-74.19079326967115,1
LOCALIDAD TUNJUELITO,4.572314290744682,-74.13958989892288,1
LOCALIDAD SUBA,4.74577959057292,-74.11488137133388,1
LOCALIDAD SAN CRISTOBAL,4.570462828360604,-74.0835782004049,1
LOCALIDAD ENGATIVA,4.701674572502934,-74.13039946173289,1
LOCALIDAD KENNEDY,4.6132763902374565,-74.1346908751786,1
LOCALIDAD SUBA,4.757536806808404,-74.07880939987783,1
LOCALIDAD KENNEDY,4.63547466377237,-74.1725542527904,1
LOCALIDAD ENGATIVA,4.718194999702499,-74.12561845786709,1
LOCALIDAD TUNJUELITO,4.5774236687200185,-74.1309030379358,1
LOCALIDAD ENGATIVA,4.697701088998409,-74.09298898383891,1
LOCALIDAD BOSA,4.597297718222594,-74.17715086578855,1
LOCALIDAD KENNEDY,4.626171022738653,-74.1383893842689,1
LOCALIDAD DISTRITO CAPITAL,4.542960658356016,-74.17023603245866,1
LOCALIDAD SAN CRISTOBAL,4.581425673490441,-74.09034295465617,1
LOCALIDAD KENNEDY,4.639582189479125,-74.13543423317344,1
LOCALIDAD BARRIOS UNIDOS,4.687509020744718,-74.06050110947888,1
LOCALIDAD SAN LUIS,4.664644683753707,-74.02271297778962,1
LOCALIDAD USAQUEN,4.737449669310312,-74.0476311421859,1
LOCALIDAD DISTRITO CAPITAL,4.76742163798802,-74.02496766627341,1
LOCALIDAD LA CANDELARIA,4.598072771213449,-74.07178823350817,1
LOCALIDAD ANTONIO NARIÑO,4.582337693578911,-74.10340346400521,1
LOCALIDAD LOS MARTIRES,4.615683626447184,-74.08508000781438,1
LOCALIDAD CANDELARIA,4.598724472763276,-74.07908004910645,1
LOCALIDAD ANTONIO NARIÑO,4.59617194039943,-74.1134102819285,1
LOCALIDAD KENNEDY,4.627457090922399,-74.16998527997106,1
LOCALIDAD TEUSAQUILLO,4.6273454804959115,-74.07279593519785,1
LOCALIDAD USAQUEN,4.738248999515234,-74.04349165047915,1
LOCALIDAD KENNEDY,4.607816062379869,-74.12996478228233,1
LOCALIDAD LOS MARTIRES,4.602450889858824,-74.09288545237753,1
LOCALIDAD BARRIOS UNIDOS,4.657111510427354,-74.07063851907816,1
LOCALIDAD BOSA,4.619627565378912,-74.18917814901916,1
LOCALIDAD SUBA,4.745454951694013,-74.09473022040324,1
LOCALIDAD CHAPINERO,4.684461734569295,-74.04790158458951,1
LOCALIDAD FONTIBON,4.669225114432508,-74.11384217163135,1
LOCALIDAD PUENTE ARANDA,4.624118359451002,-74.12422049125583,1
LOCALIDAD SAN CRISTOBAL,4.545673690334285,-74.08737735869295,1
LOCALIDAD ENGATIVA,4.689892900348772,-74.09854367271956,1
LOCALIDAD CANDELARIA,4.596066756557828,-74.08038153363523,1
LOCALIDAD ENGATIVA,4.696497902970621,-74.10691080374033,1
LOCALIDAD ENGATIVA,4.70422592666277,-74.109308192384,1
LOCALIDAD ENGATIVA,4.683497234280255,-74.09122223667966,1
LOCALIDAD PUENTE ARANDA,4.61437950234142,-74.10513929222235,1
LOCALIDAD LOS MARTIRES,4.606609061251486,-74.09068964902815,1
LOCALIDAD TUNJUELITO,4.568345583035236,-74.1340418962865,1
LOCALIDAD USME,4.510108965985403,-74.10398847712167,1
LOCALIDAD PUENTE ARANDA,4.628128085311792,-74.11894185007718,1
LOCALIDAD USAQUEN,4.687976739267949,-74.0518456082317,1
LOCALIDAD KENNEDY,4.62959843945654,-74.13764601329686,1
LOCALIDAD SAN CRISTOBAL,4.570527175403332,-74.07733136750987,1
LOCALIDAD USME,4.501174830073207,-74.09906915949693,1
LOCALIDAD PUENTE ARANDA,4.5990122361303465,-74.13544731079199,1
LOCALIDAD USME,4.5200175387431125,-74.12168789389897,1
LOCALIDAD RAFAEL URIBE URIBE,4.549423786253952,-74.11326043630267,1
LOCALIDAD DISTRITO CAPITAL,4.764291344488361,-74.04387050819352,1
LOCALIDAD ENGATIVA,4.719836558714537,-74.12185670058734,1
LOCALIDAD ENGATIVA,4.708459851951024,-74.13849638303478,1
LOCALIDAD BOSA,4.630455328573068,-74.18125060063673,1
LOCALIDAD BOSA,4.612859620993967,-74.21179516061751,1
LOCALIDAD PUENTE ARANDA,4.623883557085362,-74.1028466336654,1
LOCALIDAD BOSA,4.596432216011519,-74.17184224765808,1
LOCALIDAD KENNEDY,4.618971592059196,-74.13917335500794,1
LOCALIDAD KENNEDY,4.615955436164691,-74.15851375146458,1
LOCALIDAD SAN CRISTOBAL,4.571436690072914,-74.08118823017915,1
LOCALIDAD DISTRITO CAPITAL,4.750586281148283,-74.04298778987274,1
LOCALIDAD DISTRITO CAPITAL,4.62905086279939,-74.12633293550272,1
LOCALIDAD ENGATIVA,4.696235072533862,-74.10651444601302,1
LOCALIDAD KENNEDY,4.616009582306715,-74.1584055097241,1
LOCALIDAD CHAPINERO,4.684368480509291,-74.05249958241453,1
LOCALIDAD SAN CRISTOBAL,4.570028252881786,-74.07623229076802,1
LOCALIDAD BARRIOS UNIDOS,4.668583526743912,-74.07236339182487,1
LOCALIDAD CHAPINERO,4.683663019386037,-74.04591025776182,1
LOCALIDAD DISTRITO CAPITAL,4.63887442582466,-74.06966175638658,1
LOCALIDAD TEUSAQUILLO,4.650025212660262,-74.0678801950288,1
LOCALIDAD ENGATIVA,4.6999247358438,-74.09178701592651,1
LOCALIDAD CHAPINERO,4.63996899892567,-74.06287209653792,1
LOCALIDAD SAN CRISTOBAL,4.551271248711333,-74.09321129059154,1
LOCALIDAD ENGATIVA,4.694667340288953,-74.10429857723341,1
LOCALIDAD SUBA,4.7417145075869165,-74.12626518155423,1
LOCALIDAD BARRIOS UNIDOS,4.671231690745841,-74.0707191240692,1
LOCALIDAD TEUSAQUILLO,4.635218174539973,-74.0751385631459,1
LOCALIDAD KENNEDY,4.653255317770038,-74.16207575588307,1
LOCALIDAD KENNEDY,4.616774419343692,-74.15499700079222,1
LOCALIDAD BOSA,4.621268617527214,-74.18456963979595,1
LOCALIDAD SANTA FE,4.607121702142781,-74.0743817032339,1
LOCALIDAD LOS MARTIRES,4.606699417568225,-74.08356804640442,1
LOCALIDAD KENNEDY,4.6128549830292975,-74.13776541105177,1
LOCALIDAD DISTRITO CAPITAL,4.614111327867215,-74.17496797840451,1
LOCALIDAD ENGATIVA,4.709220302422986,-74.13899132588607,1
LOCALIDAD ENGATIVA,4.716141023778004,-74.13961393303849,1
LOCALIDAD ENGATIVA,4.716141023778004,-74.13961393303849,1
LOCALIDAD RAFAEL URIBE,4.5481489418077,-74.12112210104135,1
LOCALIDAD DISTRITO CAPITAL,4.628503370670416,-74.12249325619699,1
LOCALIDAD ENGATIVA,4.696028375366668,-74.08660804032426,1
LOCALIDAD PUENTE ARANDA,4.62961850162591,-74.11002427235736,1
