Localidad,Latitud,Longitud,NumAccidentes
LOCALIDAD CHAPINERO,4.669429337003139,-74.055458633069,1
LOCALIDAD KENNEDY,4.615782583006895,-74.17306391268089,1
LOCALIDAD DISTRITO CAPITAL,4.7604006495882665,-74.0301168820495,1
LOCALIDAD DISTRITO CAPITAL,4.746821783847318,-74.02249015227152,1
LOCALIDAD BOSA,4.597089748329827,-74.1772232214397,1
LOCALIDAD BOSA,4.631187698294613,-74.18880439700199,1
LOCALIDAD BOSA,4.629907010800122,-74.19214143463529,1
LOCALIDAD PUENTE ARANDA,4.607521450477061,-74.11844442746246,1
LOCALIDAD SUBA,4.7051075309687125,-74.07098089687469,1
LOCALIDAD SUBA,4.7062927929807525,-74.07120471953583,1
LOCALIDAD CIUDAD BOLIVAR,4.544547825374719,-74.1582186253534,1
LOCALIDAD KENNEDY,4.634821351483548,-74.1631612897722,1
LOCALIDAD DISTRITO CAPITAL,4.6143089793021295,-74.21361457787114,1
LOCALIDAD TUNJUELITO,4.591816723313923,-74.14700353584949,1
LOCALIDAD PUENTE ARANDA,4.626889084083151,-74.10472695227344,1
LOCALIDAD ENGATIVA,4.6832116413617415,-74.11540231997171,1
LOCALIDAD KENNEDY,4.616125407915602,-74.17227922269275,1
LOCALIDAD BARRIOS UNIDOS,4.674351352052753,-74.08366109450614,1
LOCALIDAD KENNEDY,4.623425638658151,-74.14960722508715,1
LOCALIDAD BOSA,4.622289725874326,-74.19949728726243,1
LOCALIDAD CIUDAD BOLIVAR,4.596134043806027,-74.15670709077183,1
LOCALIDAD PUENTE ARANDA,4.603048802612122,-74.12981732706498,1
LOCALIDAD DISTRITO CAPITAL,4.758900588831332,-74.03116487862306,1
LOCALIDAD USME,4.497603517495168,-74.10780736325749,1
LOCALIDAD ANTONIO NARIÑO,4.5846147993830835,-74.10149860842212,1
LOCALIDAD ENGATIVA,4.710514704082003,-74.13969298111964,1
LOCALIDAD DISTRITO CAPITAL,4.55855339033625,-74.12268692844158,1
LOCALIDAD ENGATIVA,4.680934150755877,-74.08877333070957,1
LOCALIDAD SUBA,4.732763617988284,-74.06718440590521,1
LOCALIDAD SUBA,4.754823258798598,-74.05881464835734,1
LOCALIDAD DISTRITO CAPITAL,4.583877313923196,-74.10488890433903,1
LOCALIDAD CHAPINERO,4.683145952282725,-74.04482910973927,1
LOCALIDAD KENNEDY,4.630973259786152,-74.14499155648637,1
LOCALIDAD TUNJUELITO,4.569745659793282,-74.1323816054537,1
LOCALIDAD BARRIOS UNIDOS,4.660240501848817,-74.06325098671532,1
LOCALIDAD DISTRITO CAPITAL,4.6142469097928505,-74.17487767342622,1
LOCALIDAD PUENTE ARANDA,4.6261230796850334,-74.0998599093885,1
LOCALIDAD SUBA,4.736257588885957,-74.06227494503449,1
LOCALIDAD ENGATIVA,4.696340567088105,-74.09015981414828,1
LOCALIDAD ENGATIVA,4.710958204580618,-74.12540210694984,1
LOCALIDAD BOSA,4.597306558898618,-74.15381203005064,1
LOCALIDAD SAN CRISTOBAL,4.564089945626231,-74.07983646816,1
LOCALIDAD PUENTE ARANDA,4.60701591926186,-74.12660329213092,1
LOCALIDAD SAN CRISTOBAL,4.545578838705631,-74.09105510101367,1
LOCALIDAD SUBA,4.715996760958088,-74.06980339316266,1
LOCALIDAD KENNEDY,4.622521845406928,-74.15025737489896,1
LOCALIDAD SUBA,4.750653048475615,-74.04547618960247,1
LOCALIDAD PUENTE ARANDA,4.605462846665494,-74.12152094348501,1
LOCALIDAD BOSA,4.610546022931065,-74.19755422588251,1
LOCALIDAD USME,4.4910867918242765,-74.1046696975629,1
LOCALIDAD RAFAEL URIBE URIBE,4.551615539301241,-74.10812883970414,1
LOCALIDAD SUBA,4.724914292585789,-74.05542904713795,1
LOCALIDAD DISTRITO CAPITAL,4.760265934300243,-74.030802314338,1
LOCALIDAD DISTRITO CAPITAL,4.766182047913425,-74.03110058910325,1
LOCALIDAD SUBA,4.714836164822559,-74.05435175839747,1
LOCALIDAD KENNEDY,4.619056641766208,-74.14217518982561,1
LOCALIDAD USME,4.504857767189899,-74.11490103486055,1
LOCALIDAD USAQUEN,4.696506169509146,-74.03176544336353,1
LOCALIDAD DISTRITO CAPITAL,4.606261495761373,-74.13102138505171,1
LOCALIDAD ANTONIO NARIÑO,4.596622336123929,-74.11189529309642,1
LOCALIDAD DISTRITO CAPITAL,4.5587164105898985,-74.12284898321755,1
LOCALIDAD DISTRITO CAPITAL,4.540914562851925,-74.13790558584098,1
LOCALIDAD KENNEDY,4.605111409890047,-74.14488730443604,1
LOCALIDAD SUBA,4.6898347747696825,-74.06804400997964,1
LOCALIDAD ANTONIO NARIÑO,4.578260296469904,-74.09794592595678,1
LOCALIDAD CHAPINERO,4.682120995164253,-74.04276597601677,1
LOCALIDAD FONTIBON,4.67037489916039,-74.11462506976854,1
LOCALIDAD CHAPINERO,4.651195051757377,-74.06329901129322,1
LOCALIDAD CHAPINERO,4.656224660034783,-74.05675641398257,1
LOCALIDAD CHAPINERO,4.670053788743287,-74.04234962692607,1
LOCALIDAD USME,4.512275641762724,-74.11524358237327,1
LOCALIDAD CHAPINERO,4.6323666570276085,-74.06660523008199,1
LOCALIDAD DISTRITO CAPITAL,4.699803491357509,-74.0820952672982,1
LOCALIDAD CHAPINERO,4.683862634081303,-74.04636075809577,1
LOCALIDAD ENGATIVA,4.688737942274746,-74.1078312463501,1
LOCALIDAD CHAPINERO,4.685533302755179,-74.05099243342859,1
LOCALIDAD ENGATIVA,4.6915056738006875,-74.09361004810197,1
LOCALIDAD SUBA,4.742904726327796,-74.12326123281825,1
LOCALIDAD LOS MARTIRES,4.601991919371047,-74.10187349762215,1
LOCALIDAD SAN CRISTOBAL,4.55782679428974,-74.08408999391764,1
LOCALIDAD DISTRITO CAPITAL,4.76288799002715,-74.03001421740001,1
LOCALIDAD TEUSAQUILLO,4.629743174660799,-74.08020298500519,1
LOCALIDAD BARRIOS UNIDOS,4.6867237768374785,-74.07535070375312,1
LOCALIDAD SAN CRISTOBAL,4.572144277721088,-74.08277380951142,1
LOCALIDAD KENNEDY,4.6342147640256455,-74.15512056829975,1
LOCALIDAD FONTIBON,4.666296787685014,-74.1302718724763,1
LOCALIDAD USME,4.50561718592837,-74.11455760927898,1
LOCALIDAD TEUSAQUILLO,4.662515691694191,-74.10862170634644,1
LOCALIDAD ENGATIVA,4.693745338335675,-74.09081230384635,1
LOCALIDAD TUNJUELITO,4.572187618322633,-74.13956300733982,1
LOCALIDAD KENNEDY,4.65479465951199,-74.14086993720585,1
LOCALIDAD CIUDAD BOLIVAR,4.546036107148095,-74.13929665802218,1
LOCALIDAD ENGATIVA,4.712026391200111,-74.14054764393,1
LOCALIDAD SUBA,4.7982308756327035,-74.04463496533033,1
LOCALIDAD KENNEDY,4.615919734224065,-74.1589194608349,1
LOCALIDAD SAN CRISTOBAL,4.58160630984182,-74.09012638473644,1
LOCALIDAD ENGATIVA,4.678445089120509,-74.10158753640069,1
LOCALIDAD USME,4.506087362814443,-74.11439480005332,1
LOCALIDAD PUENTE ARANDA,4.601933302616509,-74.12011900046245,1
LOCALIDAD PUENTE ARANDA,4.598560301633708,-74.13573632152644,1
LOCALIDAD FUSCA,4.781275865941312,-74.04186333073407,1
LOCALIDAD CIUDAD BOLIVAR,4.595955324297738,-74.15856430333743,1
LOCALIDAD FONTIBON,4.640913549039426,-74.11486924558766,1
LOCALIDAD ENGATIVA,4.686087753140016,-74.09390552973483,1
LOCALIDAD BARRIOS UNIDOS,4.675682089610965,-74.06392469040479,1
LOCALIDAD SAN CRISTOBAL,4.545343197341729,-74.08355593615042,1
LOCALIDAD KENNEDY,4.609068930928701,-74.14115048772726,1
LOCALIDAD PUENTE ARANDA,4.622297595386934,-74.0934011541912,1
LOCALIDAD SAN CRISTOBAL,4.570228265902957,-74.08406525842307,1
LOCALIDAD SAN CRISTOBAL,4.575487593235405,-74.09419048783892,1
LOCALIDAD SAN CRISTOBAL,4.575587140443416,-74.09422641939315,1
LOCALIDAD KENNEDY,4.601319911666114,-74.14377401861356,1
LOCALIDAD ENGATIVA,4.709365066675357,-74.13901819578099,1
LOCALIDAD RAFAEL URIBE URIBE,4.586764708489719,-74.12830462576714,1
LOCALIDAD TUNJUELITO,4.565917263444116,-74.1381732888785,1
LOCALIDAD TUNJUELITO,4.574168639483001,-74.13956965764082,1
LOCALIDAD ENGATIVA,4.68265564583101,-74.09793988913144,1
LOCALIDAD TUNJUELITO,4.564641981052221,-74.13831002255675,1
LOCALIDAD CIUDAD BOLIVAR,4.562438112869748,-74.14105294128223,1
LOCALIDAD CIUDAD BOLIVAR,4.552455799507825,-74.13698145490893,1
LOCALIDAD ENGATIVA,4.6673742812312184,-74.09533597168894,1
LOCALIDAD CIUDAD BOLIVAR,4.555212008746521,-74.1498682364756,1
